Annotation	n
Unknown	640538433
GO:0016021	101508079
GO:0005524	88276091
GO:0005737	69379453
GO:0046872	53024705
GO:0005886	37874431
GO:0003677	31876497
GO:0016787	19052217
GO:0000287	18028218
GO:0016491	17941950
GO:0008270	14689655
GO:0051539	10625651
GO:0022857	10357939
GO:0005525	10008559
GO:0003824	9661927
GO:0016887	9510111
GO:0042626	8902716
GO:0003723	8819760
GO:0006260	8794912
GO:0006412	8612212
GO:0050660	8456303
GO:0016740	8454986
GO:0055085	8298169
GO:0030170	8272691
GO:0000049	7975330
GO:0005975	7223559
GO:0006281	7150482
GO:0003924	7092065
GO:0032259	7075035
GO:0051287	6889741
GO:0006099	6767729
GO:0003735	6698353
GO:0006541	6273574
GO:0003676	6220386
GO:0051301	6090407
GO:0005840	5526171
GO:0000166	5304039
GO:0019843	5258065
GO:0020037	5177008
GO:0009252	5165441
GO:0003887	5129505
GO:0003899	5098400
GO:0008168	4957740
GO:0006351	4858616
GO:0008360	4806089
GO:0009055	4795461
GO:0004252	4697477
GO:0016301	4632640
GO:0009279	4631153
GO:0050661	4620974
GO:0016829	4518587
GO:0006189	4395300
GO:0071555	4247878
GO:0009432	4146656
GO:0006265	4105529
GO:0006355	4020047
GO:0016020	4004950
GO:0003678	3967750
GO:0051536	3966099
GO:0009058	3956253
GO:0008483	3841532
GO:0008137	3823754
GO:0006457	3805212
GO:0030976	3684616
GO:0051082	3675415
GO:0043190	3665377
GO:0005887	3613345
GO:0006310	3589807
GO:0007049	3507393
GO:0008408	3477549
GO:0005506	3432997
GO:0002161	3424780
GO:0006633	3403577
GO:0048038	3395557
GO:0009097	3282146
GO:0003746	3278818
GO:0004222	3273733
GO:0016757	3192416
GO:0006289	3082703
GO:0009380	3038611
GO:0003918	3011531
GO:0003700	2949632
GO:0006261	2908754
GO:0005694	2876481
GO:0051537	2867297
GO:0006526	2846835
GO:0010181	2840461
GO:0031676	2801896
GO:0042773	2778597
GO:0016874	2777822
GO:0008233	2768005
GO:0004386	2764757
GO:0044205	2761716
GO:0046933	2634814
GO:0004176	2527281
GO:0000155	2524450
GO:0016620	2463924
GO:0006605	2445825
GO:0009098	2433524
GO:0009381	2430569
GO:0003684	2383884
GO:0006096	2370266
GO:0006396	2347592
GO:0016853	2340618
GO:0016627	2332818
GO:0009089	2324345
GO:0000105	2302827
GO:0065002	2293367
GO:0042597	2248381
GO:0009099	2169035
GO:0008237	2147829
GO:0006537	2116051
GO:0071949	2107289
GO:0009236	2069772
GO:0004748	2068487
GO:0006400	2058240
GO:0004553	2052649
GO:0009073	2049616
GO:0005509	2029747
GO:0016746	2028024
GO:0016114	2003132
GO:0008652	1990301
GO:0004519	1961938
GO:0045261	1913472
GO:0032549	1908142
GO:0031419	1907022
GO:0051538	1858975
GO:0016705	1853913
GO:0004088	1851726
GO:1990077	1839724
GO:0018298	1821811
GO:0008658	1809895
GO:0016226	1808521
GO:0015031	1787412
GO:0046983	1786826
GO:0009082	1778869
GO:0015979	1750815
GO:0004129	1741712
GO:0009116	1702641
GO:0043565	1689827
GO:0000160	1652508
GO:0009088	1647728
GO:0009423	1644934
GO:0016810	1640907
GO:0030145	1628266
GO:0006730	1614801
GO:0035999	1544495
GO:0043022	1518496
GO:0003743	1512932
GO:0017004	1509849
GO:0016987	1486479
GO:0006782	1465194
GO:0008236	1451708
GO:0009086	1449991
GO:0046961	1442294
GO:0006353	1430817
GO:0003755	1429304
GO:0008484	1424608
GO:0030163	1422337
GO:0051213	1418777
GO:0009228	1393670
GO:0008955	1391721
GO:0003697	1388484
GO:0009435	1385422
GO:0006207	1365162
GO:0016779	1350166
GO:0006629	1349639
GO:0019288	1340506
GO:0043952	1333584
GO:0004826	1302056
GO:0005576	1299823
GO:0004822	1287017
GO:0006432	1279883
GO:0015930	1279246
GO:0009245	1263553
GO:0016616	1260972
GO:0006428	1255000
GO:0004356	1253278
GO:0008654	1248005
GO:0003989	1232149
GO:0006094	1228651
GO:0006814	1227932
