run	station	depth
ERR594324	064	DCM
ERR598972	064	DCM
ERR599023	064	DCM
ERR599025	064	DCM
ERR594385	064	DCM
ERR599021	064	MES
ERR599164	064	MES
ERR598970	064	SRF
ERR599088	064	SRF
ERR599150	064	SRF
ERR594392	064	SRF
ERR594291	065	DCM
ERR598990	065	DCM
ERR599018	065	DCM
ERR599110	065	DCM
ERR594382	065	DCM
ERR594414	065	DCM
ERR598960	065	MES
ERR599034	065	MES
ERR594320	065	SRF
ERR598979	065	SRF
ERR599146	065	SRF
ERR594359	065	SRF
ERR594361	065	SRF
ERR599017	068	DCM
ERR599056	068	DCM
ERR599103	068	DCM
ERR594294	068	DCM
ERR594348	068	DCM
ERR594415	068	DCM
ERR598947	068	MES
ERR599131	068	MES
ERR594302	068	MES
ERR599129	068	SRF
ERR599171	068	SRF
ERR599174	068	SRF
ERR594318	068	SRF
ERR594297	068	SRF
ERR594391	068	SRF
ERR599040	076	DCM
ERR599148	076	DCM
ERR594321	076	DCM
ERR594298	076	DCM
ERR594355	076	DCM
ERR599000	076	MES
ERR599154	076	MES
ERR594333	076	MES
ERR599010	076	SRF
ERR599126	076	SRF
ERR594310	076	SRF
ERR594286	076	SRF
ERR594354	076	SRF
ERR599046	078	DCM
ERR599101	078	DCM
ERR594336	078	DCM
ERR594303	078	DCM
ERR599124	078	MES
ERR599159	078	MES
ERR594289	078	MES
ERR599006	078	SRF
ERR599022	078	SRF
ERR594340	078	SRF
ERR594332	078	SRF
ERR594411	078	SRF
ERR599042	098	DCM
ERR599079	098	DCM
ERR599071	098	MES
ERR599085	098	MES
ERR599093	098	SRF
ERR599120	098	SRF
ERR598961	111	DCM
ERR599086	111	MES
ERR599077	111	SRF
ERR598957	112	DCM
ERR599072	112	MES
ERR598954	112	SRF
