Annotation	n	depth	station
GO:0016021	477005	2	65
GO:0005524	408391	2	65
GO:0005737	294735	2	65
GO:0046872	243250	2	65
GO:0005886	173787	2	65
GO:0003677	153228	2	65
GO:0016787	86125	2	65
GO:0016491	84651	2	65
GO:0000287	75896	2	65
GO:0008270	62133	2	65
GO:0006260	59204	2	65
GO:0016887	49562	2	65
GO:0022857	48827	2	65
GO:0003824	46728	2	65
GO:0051539	44759	2	65
GO:0005525	43446	2	65
GO:0006412	39569	2	65
GO:0003723	39434	2	65
GO:0050660	39100	2	65
GO:0042626	38620	2	65
GO:0055085	37676	2	65
GO:0016740	37182	2	65
GO:0000049	34862	2	65
GO:0030170	34805	2	65
GO:0006281	33140	2	65
GO:0003887	32351	2	65
GO:0051287	31541	2	65
GO:0005975	31523	2	65
GO:0003924	31391	2	65
GO:0006099	31182	2	65
GO:0003735	31010	2	65
GO:0000166	29678	2	65
GO:0032259	29432	2	65
GO:0006541	27686	2	65
GO:0003676	27526	2	65
GO:0020037	26523	2	65
GO:0051301	25468	2	65
GO:0005840	24568	2	65
GO:0009055	24132	2	65
GO:0003899	23192	2	65
GO:0019843	23151	2	65
GO:0004252	22644	2	65
GO:0006351	22445	2	65
GO:0003678	22367	2	65
GO:0009252	22100	2	65
GO:0008168	21570	2	65
GO:0016829	21041	2	65
GO:0009279	20755	2	65
GO:0050661	20243	2	65
GO:0008360	20025	2	65
GO:0008408	19919	2	65
GO:0016301	19702	2	65
GO:0016020	19295	2	65
GO:0006189	18845	2	65
GO:0006265	18632	2	65
GO:0006261	18022	2	65
GO:0006457	17947	2	65
GO:0009432	17877	2	65
GO:0051536	17867	2	65
GO:0071555	17788	2	65
GO:0009058	17724	2	65
GO:0006310	17035	2	65
GO:0008137	17013	2	65
GO:0030976	16923	2	65
GO:0008483	16472	2	65
GO:0004748	16467	2	65
GO:0051082	16284	2	65
GO:0006633	16179	2	65
GO:0005506	15876	2	65
GO:0005887	15262	2	65
GO:0043190	15195	2	65
GO:0006355	14998	2	65
GO:0007049	14992	2	65
GO:0005509	14934	2	65
GO:0002161	14698	2	65
GO:0003746	14570	2	65
GO:0048038	14473	2	65
GO:0016757	14439	2	65
GO:0006289	14333	2	65
GO:0009097	14137	2	65
GO:0009380	13944	2	65
GO:0003918	13743	2	65
GO:0004386	13609	2	65
GO:0051537	13349	2	65
GO:0008233	12993	2	65
GO:0016874	12992	2	65
GO:0004222	12927	2	65
GO:0010181	12711	2	65
GO:0005694	12381	2	65
GO:0044205	12369	2	65
GO:0003700	12257	2	65
GO:0006526	12254	2	65
GO:0016620	12195	2	65
GO:0046933	12142	2	65
GO:0042773	12059	2	65
GO:0042597	11631	2	65
GO:0004176	11362	2	65
GO:0004519	11225	2	65
GO:0006396	10990	2	65
GO:0009098	10924	2	65
GO:0016627	10692	2	65
GO:0006605	10667	2	65
GO:0009381	10607	2	65
GO:0016746	10322	2	65
GO:0006096	10090	2	65
GO:0018298	10090	2	65
GO:0065002	10032	2	65
GO:0016853	9992	2	65
GO:0009089	9979	2	65
GO:0006537	9842	2	65
GO:0003684	9783	2	65
GO:0000105	9495	2	65
GO:0071949	9465	2	65
GO:0009099	9375	2	65
GO:0003697	9325	2	65
GO:0008237	9117	2	65
GO:0004553	8968	2	65
GO:0006400	8868	2	65
GO:0045261	8837	2	65
GO:0004088	8802	2	65
GO:0051538	8769	2	65
GO:0031419	8726	2	65
GO:0015031	8664	2	65
GO:0032549	8528	2	65
GO:0009073	8448	2	65
GO:0016705	8410	2	65
GO:0016114	8346	2	65
GO:0000155	8328	2	65
GO:0004129	8200	2	65
GO:0009082	8057	2	65
GO:0008658	8030	2	65
GO:0016226	7881	2	65
GO:0009116	7845	2	65
GO:0008652	7653	2	65
GO:1990077	7547	2	65
GO:0008484	7526	2	65
GO:0016810	7368	2	65
GO:0046983	7338	2	65
GO:0006730	7162	2	65
GO:0043565	7110	2	65
GO:0017004	7084	2	65
GO:0035999	6989	2	65
GO:0051213	6911	2	65
GO:0006353	6737	2	65
GO:0003743	6716	2	65
GO:0016987	6697	2	65
GO:0046961	6633	2	65
GO:0016168	6626	2	65
GO:0030145	6580	2	65
GO:0009423	6518	2	65
GO:0043022	6496	2	65
GO:0016616	6467	2	65
GO:0015930	6449	2	65
GO:0003755	6362	2	65
GO:0016779	6307	2	65
GO:0042026	6293	2	65
GO:0009088	6286	2	65
GO:0031676	6247	2	65
GO:0006629	6220	2	65
GO:0009086	6123	2	65
GO:0003989	6050	2	65
GO:0004527	6040	2	65
GO:0006814	6026	2	65
GO:0006207	5998	2	65
GO:0030163	5905	2	65
GO:0000160	5903	2	65
GO:0008236	5893	2	65
GO:0008955	5890	2	65
GO:0009435	5821	2	65
GO:0045156	5775	2	65
GO:0008115	5759	2	65
GO:0006520	5698	2	65
GO:0043952	5681	2	65
GO:0046653	5679	2	65
GO:0004642	5664	2	65
GO:0009772	5640	2	65
GO:0004822	5579	2	65
GO:0005576	5547	2	65
GO:0008094	5504	2	65
GO:0015935	5492	2	65
GO:0004826	5440	2	65
GO:0006428	5426	2	65
GO:0004356	5393	2	65
GO:0004375	5393	2	65
GO:0009236	5367	2	65
GO:0006432	5361	2	65
GO:0017038	5347	2	65
GO:0070006	5334	2	65
GO:0008033	5318	2	65
GO:0009228	5219	2	65
GO:0004497	5212	2	65
GO:0009002	5212	2	65
GO:0019288	5190	2	65
GO:0006094	5180	2	65
GO:0015293	5145	2	65
GO:0009060	5127	2	65
GO:0015934	5124	2	65
GO:0015979	5118	2	65
GO:0019877	5098	2	65
GO:0008654	5095	2	65
GO:0006542	5053	2	65
GO:0004315	5043	2	65
GO:0006782	5042	2	65
GO:0004177	5037	2	65
GO:0070403	5029	2	65
GO:0009263	5023	2	65
GO:0006865	4998	2	65
GO:0016614	4976	2	65
GO:0008410	4945	2	65
GO:0004518	4939	2	65
GO:0006284	4931	2	65
GO:0004813	4908	2	65
GO:0003994	4896	2	65
GO:0050567	4895	2	65
GO:0005507	4877	2	65
GO:0009245	4874	2	65
GO:0019346	4868	2	65
GO:0004591	4862	2	65
GO:0006269	4849	2	65
GO:0003917	4829	2	65
GO:0006419	4799	2	65
GO:0043546	4788	2	65
GO:0004739	4760	2	65
GO:0047780	4731	2	65
GO:0009231	4726	2	65
GO:0097367	4715	2	65
GO:0044208	4666	2	65
GO:0006352	4524	2	65
GO:2001295	4519	2	65
GO:0030246	4481	2	65
GO:0009360	4452	2	65
GO:0004823	4445	2	65
GO:0006429	4416	2	65
GO:0006402	4414	2	65
GO:0008519	4280	2	65
GO:0006744	4257	2	65
GO:0003852	4256	2	65
GO:0004775	4243	2	65
GO:0004832	4189	2	65
GO:0006438	4186	2	65
GO:0006090	4173	2	65
GO:0008177	4173	2	65
GO:0003896	4171	2	65
GO:0031564	4171	2	65
GO:0004427	4093	2	65
GO:0016655	4079	2	65
GO:0006807	4056	2	65
GO:0004654	4055	2	65
GO:0004829	4055	2	65
GO:0006777	4009	2	65
GO:0015450	4003	2	65
GO:0006435	3995	2	65
GO:0004820	3960	2	65
GO:0045454	3922	2	65
GO:0006426	3919	2	65
GO:0006749	3910	2	65
GO:0009113	3887	2	65
GO:0008616	3884	2	65
GO:0016149	3879	2	65
GO:0015937	3875	2	65
GO:0009678	3864	2	65
GO:0006364	3858	2	65
GO:0070469	3847	2	65
GO:0043093	3828	2	65
GO:0003995	3818	2	65
GO:0015833	3802	2	65
GO:0009306	3801	2	65
GO:0015232	3796	2	65
GO:0006614	3788	2	65
GO:0042254	3725	2	65
GO:0019464	3712	2	65
GO:0008299	3702	2	65
GO:0003987	3698	2	65
GO:0016818	3684	2	65
GO:0006979	3670	2	65
GO:0002098	3625	2	65
GO:0004355	3601	2	65
GO:0044210	3596	2	65
GO:0000162	3591	2	65
GO:0003984	3583	2	65
GO:0009399	3569	2	65
GO:0016208	3563	2	65
GO:0019427	3563	2	65
GO:0004814	3558	2	65
GO:0004359	3545	2	65
GO:0006546	3529	2	65
GO:0005198	3521	2	65
GO:0009317	3519	2	65
GO:0030261	3513	2	65
GO:0015297	3508	2	65
GO:0000917	3505	2	65
GO:0006420	3504	2	65
GO:0015658	3494	2	65
GO:0015074	3487	2	65
GO:0006097	3485	2	65
GO:0007062	3482	2	65
GO:0022904	3460	2	65
GO:0047834	3460	2	65
GO:0009408	3448	2	65
GO:0003861	3431	2	65
GO:0016765	3399	2	65
GO:0001522	3383	2	65
GO:0050242	3381	2	65
GO:0071973	3342	2	65
GO:0055129	3331	2	65
GO:0008610	3306	2	65
GO:0032153	3304	2	65
GO:0006298	3289	2	65
GO:0006108	3285	2	65
GO:0001123	3281	2	65
GO:0004160	3277	2	65
GO:0004834	3268	2	65
GO:0030983	3243	2	65
GO:0004672	3188	2	65
GO:0005634	3186	2	65
GO:0008324	3166	2	65
GO:0006515	3156	2	65
GO:0034605	3143	2	65
GO:0004471	3134	2	65
GO:0019752	3127	2	65
GO:0030955	3095	2	65
GO:0004540	3081	2	65
GO:0009190	3055	2	65
GO:0006231	3043	2	65
GO:0035556	3024	2	65
GO:0016747	3021	2	65
GO:0015969	3005	2	65
GO:0008661	2994	2	65
GO:0003883	2990	2	65
GO:0004815	2987	2	65
GO:0006422	2985	2	65
GO:0071897	2966	2	65
GO:0004013	2965	2	65
GO:0016743	2954	2	65
GO:0022900	2940	2	65
GO:0004360	2920	2	65
GO:0045727	2919	2	65
GO:0046677	2916	2	65
GO:0004148	2915	2	65
GO:0015940	2913	2	65
GO:1901137	2901	2	65
GO:0003911	2873	2	65
GO:0008863	2853	2	65
GO:0008080	2850	2	65
GO:0016831	2842	2	65
GO:0007059	2830	2	65
GO:0004333	2828	2	65
GO:0005315	2820	2	65
GO:0052865	2809	2	65
GO:0006268	2803	2	65
GO:0004824	2790	2	65
GO:0016597	2783	2	65
GO:0009982	2782	2	65
GO:0006430	2779	2	65
GO:0006275	2771	2	65
GO:0006098	2770	2	65
GO:0044237	2770	2	65
