Annotation	n	depth	station
GO:0016021	1418948	3	98
GO:0005524	1201179	3	98
GO:0005737	866222	3	98
GO:0046872	797562	3	98
GO:0005886	523189	3	98
GO:0003677	396157	3	98
GO:0016787	313667	3	98
GO:0016491	306635	3	98
GO:0000287	235541	3	98
GO:0008270	207082	3	98
GO:0003824	180412	3	98
GO:0051539	166788	3	98
GO:0016740	161814	3	98
GO:0022857	156054	3	98
GO:0005525	146298	3	98
GO:0032259	130039	3	98
GO:0055085	126717	3	98
GO:0006412	125525	3	98
GO:0016887	123342	3	98
GO:0030170	121624	3	98
GO:0042626	121393	3	98
GO:0050660	116018	3	98
GO:0003723	112191	3	98
GO:0000049	108646	3	98
GO:0006260	105004	3	98
GO:0003924	99596	3	98
GO:0051287	98556	3	98
GO:0005975	97923	3	98
GO:0003735	96875	3	98
GO:0006281	92338	3	98
GO:0051536	90977	3	98
GO:0008168	89684	3	98
GO:0006099	87187	3	98
GO:0006541	83927	3	98
GO:0005840	83638	3	98
GO:0003676	81522	3	98
GO:0016301	76362	3	98
GO:0000166	75317	3	98
GO:0003899	74055	3	98
GO:0009055	72597	3	98
GO:0020037	72207	3	98
GO:0008483	70538	3	98
GO:0006351	66358	3	98
GO:0008137	65400	3	98
GO:0019843	65152	3	98
GO:0004252	65117	3	98
GO:0051301	65072	3	98
GO:0050661	61443	3	98
GO:0006189	60074	3	98
GO:0016829	59975	3	98
GO:0009058	59328	3	98
GO:0003887	58074	3	98
GO:0030976	57953	3	98
GO:0016020	57903	3	98
GO:0009252	54234	3	98
GO:0043190	53491	3	98
GO:0016874	52841	3	98
GO:0006265	52653	3	98
GO:0006457	52420	3	98
GO:0051537	52373	3	98
GO:0003678	51633	3	98
GO:0003746	49666	3	98
GO:0008360	48826	3	98
GO:0002161	48388	3	98
GO:0042773	47939	3	98
GO:0051082	47769	3	98
GO:0048038	46424	3	98
GO:0005506	46247	3	98
GO:0009279	44469	3	98
GO:0016853	43758	3	98
GO:0071555	43684	3	98
GO:0006310	43108	3	98
GO:0016757	43060	3	98
GO:0009432	42990	3	98
GO:0009097	42928	3	98
GO:0004222	42699	3	98
GO:0004386	42177	3	98
GO:0006355	41600	3	98
GO:0031419	40883	3	98
GO:0005887	40548	3	98
GO:0008408	39857	3	98
GO:0007049	39396	3	98
GO:0005694	39370	3	98
GO:0016810	39141	3	98
GO:0006633	39062	3	98
GO:0003918	38463	3	98
GO:0008233	37719	3	98
GO:0016627	37511	3	98
GO:0003700	37232	3	98
GO:0006526	37134	3	98
GO:0000105	36562	3	98
GO:0016705	36350	3	98
GO:0044205	35704	3	98
GO:0006289	34353	3	98
GO:0046933	34077	3	98
GO:0009098	34074	3	98
GO:0009380	33639	3	98
GO:0071949	31933	3	98
GO:0009236	31700	3	98
GO:0051213	31452	3	98
GO:0009099	31374	3	98
GO:0006261	31233	3	98
GO:0010181	30664	3	98
GO:0008237	30388	3	98
GO:0006605	30334	3	98
GO:0006096	30208	3	98
GO:0009073	30185	3	98
GO:0016226	29732	3	98
GO:0008652	29675	3	98
GO:0016620	29072	3	98
GO:0003684	28890	3	98
GO:0006396	28390	3	98
GO:0004176	28350	3	98
GO:0009089	28065	3	98
