Annotation	n	depth	station
GO:0016021	7801667	1	68
GO:0005524	6878865	1	68
GO:0005737	5499366	1	68
GO:0046872	3964396	1	68
GO:0005886	2694299	1	68
GO:0003677	2429036	1	68
GO:0000287	1411597	1	68
GO:0016787	1372099	1	68
GO:0016491	1255434	1	68
GO:0008270	1161343	1	68
GO:0051539	795550	1	68
GO:0005525	782917	1	68
GO:0016887	752425	1	68
GO:0003723	720734	1	68
GO:0022857	715503	1	68
GO:0006412	699442	1	68
GO:0042626	697070	1	68
GO:0003824	657658	1	68
GO:0000049	637307	1	68
GO:0030170	629968	1	68
GO:0006260	621190	1	68
GO:0050660	600062	1	68
GO:0055085	589069	1	68
GO:0016740	584529	1	68
GO:0006281	564390	1	68
GO:0005975	564324	1	68
GO:0003924	551669	1	68
GO:0003735	550663	1	68
GO:0003676	514101	1	68
GO:0051287	501343	1	68
GO:0006099	500800	1	68
GO:0032259	495319	1	68
GO:0006541	486341	1	68
GO:0051301	484418	1	68
GO:0005840	446733	1	68
GO:0019843	436606	1	68
GO:0003899	414896	1	68
GO:0009252	410742	1	68
GO:0006351	401812	1	68
GO:0008360	391923	1	68
GO:0003887	390850	1	68
GO:0020037	387739	1	68
GO:0000166	371272	1	68
GO:0004252	369374	1	68
GO:0009055	366191	1	68
GO:0016301	354383	1	68
GO:0006189	350195	1	68
GO:0009279	346608	1	68
GO:0050661	346490	1	68
GO:0016829	345460	1	68
GO:0071555	343305	1	68
GO:0009432	339568	1	68
GO:0008168	338124	1	68
GO:0006265	319678	1	68
GO:0031676	310641	1	68
GO:0006355	307087	1	68
GO:0006457	307073	1	68
GO:0016020	306255	1	68
GO:0009058	304153	1	68
GO:0051082	301951	1	68
GO:0003678	297051	1	68
GO:0005506	286403	1	68
GO:0005887	283156	1	68
GO:0007049	279148	1	68
GO:0008137	279092	1	68
GO:0002161	272327	1	68
GO:0008483	272089	1	68
GO:0016757	269482	1	68
GO:0043190	266415	1	68
GO:0004222	265982	1	68
GO:0006310	265689	1	68
GO:0008408	265423	1	68
GO:0006633	262928	1	68
GO:0030976	260142	1	68
GO:0048038	259198	1	68
GO:0051536	257907	1	68
GO:0006289	252599	1	68
GO:0009097	248478	1	68
GO:0009380	247737	1	68
GO:0003746	237820	1	68
GO:0003918	233994	1	68
GO:0006261	229266	1	68
GO:0015979	225483	1	68
GO:0005694	221755	1	68
GO:0006526	220267	1	68
GO:0044205	220194	1	68
GO:0004386	217214	1	68
GO:0010181	215144	1	68
GO:0046933	212959	1	68
GO:0051537	211663	1	68
GO:0042773	206668	1	68
GO:0008233	205262	1	68
GO:0009381	202288	1	68
GO:0004176	201987	1	68
GO:0018298	201589	1	68
GO:0003700	199813	1	68
GO:0003684	192633	1	68
GO:0006605	191345	1	68
GO:0006096	191178	1	68
GO:0005509	190524	1	68
GO:0006396	189142	1	68
GO:0016620	182111	1	68
GO:0065002	181606	1	68
GO:0009236	180223	1	68
GO:0009098	179842	1	68
GO:0009089	179070	1	68
GO:0000105	174719	1	68
GO:0006400	171881	1	68
GO:0008237	168964	1	68
GO:0016874	167657	1	68
GO:0000155	164903	1	68
GO:0009099	161385	1	68
GO:0004553	160825	1	68
GO:0016114	158920	1	68
GO:0009073	158721	1	68
GO:0071949	157884	1	68
GO:0016853	157498	1	68
GO:0008652	157488	1	68
GO:0045261	156853	1	68
GO:0006537	156765	1	68
GO:0032549	154421	1	68
GO:0016627	153037	1	68
GO:0042597	147909	1	68
GO:1990077	146224	1	68
GO:0004088	145119	1	68
GO:0008658	144947	1	68
