GOID	TERM	ONTOLOGY
GO:0007623	circadian rhythm	BP
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	BP
GO:0045910	negative regulation of DNA recombination	BP
GO:0030001	metal ion transport	BP
GO:0030435	sporulation resulting in formation of a cellular spore	BP
GO:0043419	urea catabolic process	BP
GO:0031460	glycine betaine transport	BP
GO:0044209	AMP salvage	BP
GO:0009226	nucleotide-sugar biosynthetic process	BP
GO:0019277	UDP-N-acetylgalactosamine biosynthetic process	BP
GO:0016042	lipid catabolic process	BP
GO:0007154	cell communication	BP
GO:0010033	response to organic substance	BP
GO:0015920	lipopolysaccharide transport	BP
GO:0006308	DNA catabolic process	BP
GO:0005992	trehalose biosynthetic process	BP
GO:0006478	peptidyl-tyrosine sulfation	BP
GO:0042780	tRNA 3'-end processing	BP
GO:0016310	phosphorylation	BP
GO:1990961	xenobiotic detoxification by transmembrane export across the plasma membrane	BP
GO:0009244	lipopolysaccharide core region biosynthetic process	BP
GO:0030254	protein secretion by the type III secretion system	BP
GO:0000302	response to reactive oxygen species	BP
GO:0034227	tRNA thio-modification	BP
