desc	n
translation	3080200
DNA replication	3003337
transmembrane transport	2725871
DNA repair	2449081
carbohydrate metabolic process	2413358
tricarboxylic acid cycle	2374847
glutamine metabolic process	2209531
methylation	2181709
cell division	2113717
peptidoglycan biosynthetic process	1765807
transcription, DNA-templated	1737669
regulation of cell shape	1675430
'de novo' IMP biosynthetic process	1581700
SOS response	1509005
DNA topological change	1463034
cell wall organization	1457053
biosynthetic process	1358549
protein folding	1354446
regulation of transcription, DNA-templated	1248382
fatty acid biosynthetic process	1226765
cell cycle	1189099
DNA recombination	1155137
isoleucine biosynthetic process	1145918
nucleotide-excision repair	1145390
DNA-templated DNA replication	1030611
arginine biosynthetic process	1005266
'de novo' UMP biosynthetic process	991460
ATP synthesis coupled electron transport	974106
protein targeting	865480
leucine biosynthetic process	858174
RNA processing	841604
glycolytic process	825240
intracellular protein transmembrane transport	821705
lysine biosynthetic process via diaminopimelate	817403
histidine biosynthetic process	779380
valine biosynthetic process	750814
glutamate biosynthetic process	741787
protein-chromophore linkage	723707
tRNA modification	722233
aromatic amino acid family biosynthetic process	716334
terpenoid biosynthetic process	709915
photosynthesis	698485
cobalamin biosynthetic process	684818
cellular amino acid biosynthetic process	681601
branched-chain amino acid biosynthetic process	632468
iron-sulfur cluster assembly	632394
nucleoside metabolic process	605087
protein transport	599870
threonine biosynthetic process	576166
chorismate biosynthetic process	575879
one-carbon metabolic process	572270
tetrahydrofolate interconversion	539731
cytochrome complex assembly	517359
protein catabolic process	513379
DNA-templated transcription, termination	512547
NAD biosynthetic process	488617
protoporphyrinogen IX biosynthetic process	480141
'de novo' pyrimidine nucleobase biosynthetic process	477969
protein transport by the Sec complex	477694
lipid metabolic process	476683
isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	476610
methionine biosynthetic process	472867
thiamine biosynthetic process	463144
phosphorelay signal transduction system	461204
phenylalanyl-tRNA aminoacylation	449218
isoleucyl-tRNA aminoacylation	443835
lipid A biosynthetic process	433950
sodium ion transport	431499
phospholipid biosynthetic process	423228
diaminopimelate biosynthetic process	422867
protein import	411513
riboflavin biosynthetic process	410362
DNA replication, synthesis of RNA primer	410262
cellular amino acid metabolic process	409514
transsulfuration	405489
chlorophyll biosynthetic process	405185
alanyl-tRNA aminoacylation	400618
tetrahydrofolate metabolic process	398701
gluconeogenesis	393380
tRNA processing	393147
glutamine biosynthetic process	390743
'de novo' AMP biosynthetic process	388794
aerobic respiration	386252
protein refolding	377247
base-excision repair	368249
valyl-tRNA aminoacylation	360078
queuosine biosynthetic process	355625
mRNA catabolic process	355568
amino acid transport	354927
malonyl-CoA biosynthetic process	354773
