desc	n
DNA replication	3933482
translation	3518357
transmembrane transport	3159345
DNA repair	2997857
carbohydrate metabolic process	2882306
tricarboxylic acid cycle	2870531
cell division	2698680
glutamine metabolic process	2651415
methylation	2647970
peptidoglycan biosynthetic process	2311166
regulation of cell shape	2162823
transcription, DNA-templated	2051948
cell wall organization	1896532
SOS response	1873131
'de novo' IMP biosynthetic process	1803673
DNA topological change	1708321
protein folding	1571819
regulation of transcription, DNA-templated	1549078
biosynthetic process	1544722
cell cycle	1521908
DNA recombination	1497279
fatty acid biosynthetic process	1444423
isoleucine biosynthetic process	1421362
nucleotide-excision repair	1336170
DNA-templated DNA replication	1316505
arginine biosynthetic process	1210019
'de novo' UMP biosynthetic process	1164527
ATP synthesis coupled electron transport	1059642
protein targeting	1045576
protein-chromophore linkage	1043550
leucine biosynthetic process	1024306
RNA processing	1022161
glycolytic process	1016669
photosynthesis	1010301
lysine biosynthetic process via diaminopimelate	1006212
intracellular protein transmembrane transport	988488
histidine biosynthetic process	928848
glutamate biosynthetic process	928708
cobalamin biosynthetic process	907249
valine biosynthetic process	904899
terpenoid biosynthetic process	901936
tRNA modification	876322
aromatic amino acid family biosynthetic process	848042
cellular amino acid biosynthetic process	819194
branched-chain amino acid biosynthetic process	759984
protein transport	734910
iron-sulfur cluster assembly	704408
chorismate biosynthetic process	676525
threonine biosynthetic process	674973
nucleoside metabolic process	670586
one-carbon metabolic process	666758
protein catabolic process	655472
protoporphyrinogen IX biosynthetic process	627628
chlorophyll biosynthetic process	617052
DNA-templated transcription, termination	606151
cytochrome complex assembly	600731
isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	596475
tetrahydrofolate interconversion	591356
thiamine biosynthetic process	582369
protein transport by the Sec complex	578694
NAD biosynthetic process	576737
methionine biosynthetic process	562457
'de novo' pyrimidine nucleobase biosynthetic process	560656
lipid A biosynthetic process	560227
phosphorelay signal transduction system	559504
lipid metabolic process	549317
phenylalanyl-tRNA aminoacylation	539937
diaminopimelate biosynthetic process	527215
sodium ion transport	523946
protein import	517981
DNA replication, synthesis of RNA primer	516738
isoleucyl-tRNA aminoacylation	508326
riboflavin biosynthetic process	494255
tetrahydrofolate metabolic process	489897
transsulfuration	478878
gluconeogenesis	463663
protein refolding	457114
phospholipid biosynthetic process	454761
alanyl-tRNA aminoacylation	452111
'de novo' AMP biosynthetic process	447065
malonyl-CoA biosynthetic process	444033
glutamine biosynthetic process	436880
glutathione metabolic process	433427
aerobic respiration	430127
mRNA catabolic process	428007
queuosine biosynthetic process	426636
tRNA processing	425968
base-excision repair	420974
cellular amino acid metabolic process	407720
transcription antitermination	406756
carotenoid biosynthetic process	405807
leucyl-tRNA aminoacylation	397574
protein secretion	397323
photosynthetic electron transport in photosystem II	394070
tRNA wobble uridine modification	390657
amino acid transport	389905
carbon fixation	385583
rRNA processing	384865
valyl-tRNA aminoacylation	383938
glycyl-tRNA aminoacylation	379165
threonyl-tRNA aminoacylation	378181
ubiquinone biosynthetic process	373879
DNA-templated transcription, initiation	372713
nitrogen compound metabolic process	371950
tryptophan biosynthetic process	368267
purine nucleobase biosynthetic process	366043
ribosome biogenesis	365636
mismatch repair	352235
acetyl-CoA biosynthetic process from acetate	351473
cell redox homeostasis	351447
coenzyme A biosynthetic process	350871
L-proline biosynthetic process	349024
glycine catabolic process	344075
'de novo' CTP biosynthetic process	343819
chromosome condensation	340787
sister chromatid cohesion	338494
SRP-dependent cotranslational protein targeting to membrane	336997
pentose-phosphate shunt	335539
arginyl-tRNA aminoacylation	333549
guanosine tetraphosphate metabolic process	333325
thiamine diphosphate biosynthetic process	333239
response to oxidative stress	330748
respiratory electron transport chain	320652
FtsZ-dependent cytokinesis	317025
nitrogen fixation	316932
glyoxylate cycle	315382
isoprenoid biosynthetic process	312853
division septum assembly	310240
pyruvate metabolic process	304238
lipid biosynthetic process	300284
glycine decarboxylation via glycine cleavage system	296317
carboxylic acid metabolic process	294393
aspartyl-tRNA aminoacylation	291963
peptide transport	290426
pseudouridine synthesis	289228
1-deoxy-D-xylulose 5-phosphate biosynthetic process	287375
DNA integration	282692
transcription-coupled nucleotide-excision repair, DNA damage recognition	279603
carbohydrate derivative biosynthetic process	279576
response to antibiotic	277424
DNA unwinding involved in DNA replication	276945
cell morphogenesis	274797
lysyl-tRNA aminoacylation	270310
tetrahydrofolate biosynthetic process	267018
pantothenate biosynthetic process	265141
arginine biosynthetic process via ornithine	263891
potassium ion transport	259834
oxidative phosphorylation	259676
positive regulation of translation	258418
response to heat	258043
cysteine biosynthetic process from serine	255925
glucose metabolic process	254832
regulation of DNA replication	253169
chromosome segregation	252764
electron transport coupled proton transport	249168
cellular response to heat	248364
DNA replication initiation	248193
protein quality control for misfolded or incompletely synthesized proteins	247701
lipoprotein biosynthetic process	247647
methionyl-tRNA aminoacylation	243767
carbohydrate transport	242609
prolyl-tRNA aminoacylation	238937
glycine biosynthetic process from serine	237429
inositol phosphate dephosphorylation	235507
tRNA threonylcarbamoyladenosine modification	233189
protein lipoylation	230159
fumarate metabolic process	224244
S-adenosylmethionine biosynthetic process	223940
heme biosynthetic process	221236
